,Animal Politico,El Economista,El Financiero,El Heraldo,El Pais,El Sol de Mexico,El Universal,Excelsior,Infobae,La Jornada,Latinus,Los Angeles Times,Milenio,Proceso,Reporte Indigo,Sin Embargo,The New York Times,The Washington Post
Animal Politico,0.9999999999999821,0.5324882130555966,0.5007758709130152,0.484166923016177,0.48469425876053757,0.5388075502293111,0.5614859881871831,0.5574222224341161,0.46591975062267527,0.531211905494675,0.5387376781100102,0.21266869379671088,0.18278928709892062,0.5346392761813575,0.4064743199032183,0.46325373814586474,0.14604124468218024,0.15308035005378148
El Economista,0.5324882130555966,1.0000000000000002,0.6889197942368778,0.6528766763249914,0.6074614219904183,0.7581655615888792,0.748990095561411,0.7270967671382413,0.5700895534568976,0.7080579396280546,0.6777733008056249,0.25175610803910264,0.2276964673737876,0.6743263223957886,0.5401750904257651,0.609699898650651,0.18156046428908523,0.18112142786599222
El Financiero,0.5007758709130152,0.6889197942368778,1.0000000000000058,0.6290480952737436,0.5644600992615286,0.7053370301841381,0.6952970433162053,0.6879304815481452,0.4865365024863592,0.656281289600737,0.6748391658990011,0.1799227171007142,0.26971848593687786,0.6666026353574785,0.5762816203428015,0.6535606522275509,0.14804012708340897,0.1499878250547003
El Heraldo,0.484166923016177,0.6528766763249914,0.6290480952737436,0.9999999999999902,0.535347074171031,0.6850462811901161,0.7085247126930172,0.6654153861041809,0.5500751794804016,0.6309556156818207,0.6015816483530858,0.22219138118988904,0.21516814256267872,0.6289766835889488,0.5319308308032719,0.5973937343873116,0.16486598734724017,0.1616024808530511
El Pais,0.48469425876053757,0.6074614219904183,0.5644600992615286,0.535347074171031,1.0000000000000149,0.6171013086630854,0.6501374109197287,0.6291724283139251,0.5960554395387027,0.6007124031455245,0.5949889989515638,0.2866929490865403,0.17085421522717734,0.6153470834764465,0.4077590396316079,0.4961959711492618,0.18022480636693636,0.19778028475160458
El Sol de Mexico,0.5388075502293111,0.7581655615888792,0.7053370301841381,0.6850462811901161,0.6171013086630854,1.0000000000000042,0.7860514490007614,0.7414743786366081,0.5832381666880184,0.752371025558288,0.7257302476308009,0.22717888059283195,0.23213983049104828,0.7248737002644868,0.5723794674505754,0.6557797237246366,0.16255820109591404,0.16228002980262804
El Universal,0.5614859881871831,0.748990095561411,0.6952970433162053,0.7085247126930172,0.6501374109197287,0.7860514490007614,1.000000000000011,0.7716643802538599,0.6710219628817841,0.7850065573676026,0.7412727954022411,0.2908437496390962,0.2052965969305219,0.7737684990333,0.5607764955386643,0.6814791231785559,0.20754259340381384,0.21260543175785232
Excelsior,0.5574222224341161,0.7270967671382413,0.6879304815481452,0.6654153861041809,0.6291724283139251,0.7414743786366081,0.7716643802538599,1.0000000000000075,0.5766163222539269,0.7240345763333617,0.7093048502752585,0.2492261901494899,0.24871004822979584,0.7058409821446209,0.5511052839534247,0.6212073609119031,0.1809145988097338,0.18463416412930736
Infobae,0.46591975062267527,0.5700895534568976,0.4865365024863592,0.5500751794804016,0.5960554395387027,0.5832381666880184,0.6710219628817841,0.5766163222539269,1.000000000000012,0.5691422766527118,0.5438164271717342,0.30936889957454927,0.13221512823769394,0.5954785109974431,0.3794501441168585,0.47082821962929006,0.18920728688647118,0.19628757926221788
La Jornada,0.531211905494675,0.7080579396280546,0.656281289600737,0.6309556156818207,0.6007124031455245,0.752371025558288,0.7850065573676026,0.7240345763333617,0.5691422766527118,1.0000000000000073,0.7581129430119535,0.21650544709725575,0.2307844003995808,0.7637962682637977,0.5526441017154384,0.6513488676795574,0.14248138750178388,0.1525249944225101
Latinus,0.5387376781100102,0.6777733008056249,0.6748391658990011,0.6015816483530858,0.5949889989515638,0.7257302476308009,0.7412727954022411,0.7093048502752585,0.5438164271717342,0.7581129430119535,0.9999999999999903,0.20209102140628896,0.2461640768933585,0.7291958146539677,0.5411730340308205,0.6108507404711311,0.1281485802882332,0.13697799644601294
Los Angeles Times,0.21266869379671088,0.25175610803910264,0.1799227171007142,0.22219138118988904,0.2866929490865403,0.22717888059283195,0.2908437496390962,0.2492261901494899,0.30936889957454927,0.21650544709725575,0.20209102140628896,0.9999999999999997,0.029677241619303112,0.26596368335996756,0.11046245619235764,0.13223531585857526,0.6232262485134935,0.6499102494154
Milenio,0.18278928709892062,0.2276964673737876,0.26971848593687786,0.21516814256267872,0.17085421522717734,0.23213983049104828,0.2052965969305219,0.24871004822979584,0.13221512823769394,0.2307844003995808,0.2461640768933585,0.029677241619303112,1.0000000000000013,0.22290753140991718,0.3152585981145322,0.2436097580847789,0.02499632112824159,0.025765995658568002
Proceso,0.5346392761813575,0.6743263223957886,0.6666026353574785,0.6289766835889488,0.6153470834764465,0.7248737002644868,0.7737684990333,0.7058409821446209,0.5954785109974431,0.7637962682637977,0.7291958146539677,0.26596368335996756,0.22290753140991718,1.0000000000000056,0.543903792156375,0.6557122938926732,0.17678507053462036,0.18572731138641815
Reporte Indigo,0.4064743199032183,0.5401750904257651,0.5762816203428015,0.5319308308032719,0.4077590396316079,0.5723794674505754,0.5607764955386643,0.5511052839534247,0.3794501441168585,0.5526441017154384,0.5411730340308205,0.11046245619235764,0.3152585981145322,0.543903792156375,0.9999999999999896,0.5824543243058621,0.09457358483658003,0.09159722382719752
Sin Embargo,0.46325373814586474,0.609699898650651,0.6535606522275509,0.5973937343873116,0.4961959711492618,0.6557797237246366,0.6814791231785559,0.6212073609119031,0.47082821962929006,0.6513488676795574,0.6108507404711311,0.13223531585857526,0.2436097580847789,0.6557122938926732,0.5824543243058621,0.9999999999999956,0.10241161662214084,0.09762214972545798
The New York Times,0.14604124468218024,0.18156046428908523,0.14804012708340897,0.16486598734724017,0.18022480636693636,0.16255820109591404,0.20754259340381384,0.1809145988097338,0.18920728688647118,0.14248138750178388,0.1281485802882332,0.6232262485134935,0.02499632112824159,0.17678507053462036,0.09457358483658003,0.10241161662214084,0.9999999999999989,0.7129429104328178
The Washington Post,0.15308035005378148,0.18112142786599222,0.1499878250547003,0.1616024808530511,0.19778028475160458,0.16228002980262804,0.21260543175785232,0.18463416412930736,0.19628757926221788,0.1525249944225101,0.13697799644601294,0.6499102494154,0.025765995658568002,0.18572731138641815,0.09159722382719752,0.09762214972545798,0.7129429104328178,1.0
